what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344386008082
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1344386008082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344386014860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344386016826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344386105845
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344386109273
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344386109297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386109466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386111597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344386111649
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344386113135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344386115176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344386139375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344386142759
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344386153234
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344386156326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386156621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386157903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386160390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386184642
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344386191205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386196989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386266983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386268804
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1344386312471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386312610
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344386312616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386315962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386320741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344386322795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344428515231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344428518640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344428932487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344428934608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344429955355
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344429960881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430015948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430185718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430210365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430327294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430407007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430459448
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344430464121
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1344430468558
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1344430468914
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1344430468970
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1344430469094
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1344430469107
opened,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1344430469293
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1344430469320
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344430469428
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344430476512
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344430476543
closed,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1344430478493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344430485355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430488064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430654088
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344430655706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344430666743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344430667489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344430698424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344430718453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344430720280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430737593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430756565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344430758367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430770060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430774407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344430775075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430777080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430810679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344430835346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344430836871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344430907899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344430910778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344430918636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344431049123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344431060517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344431061829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344431062893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344431069426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344431070498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344431138186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344431139093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344431162532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344431217454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344431221749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344431260895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344431264585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344431288278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344431383645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344431408186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344431412645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344431527185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344431533781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344431547964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344431550194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344431599229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344431601103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344431610354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344431612346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344431670029
